en,Team Name,Team Captain Discord Username(s),Rostered Player 1 Discord Username,Rostered Player 1 Overstat Link,Rostered Player 1 In-Game-Name (this needs to be the same for every match day),Rostered Player 2 Discord Username,Rostered Player 2 Overstat Link,Rostered Player 2 In-Game-Name (this needs to be the same for every match day),Rostered Player 3 Discord Username,Rostered Player 3 Overstat Link,Rostered Player 3 In-Game-Name (this needs to be the same for every match day),Have you and your teammates played in Void Apex leagues before? (this does not include scrims/community events),How familiar is your team with competitive apex?,What is the average rank of your team?,What platform does your team play on?,,
27/03/2025 10:42:43,TGUN,xJMANZEROZEROx (TGUN_Turtle),xJMANZEROZEROx (TGUN_Turtle),https://overstat.gg/player/3030174.TGUN_Turtle/overview,TGUN_Turtle,MDeVivo,https://overstat.gg/player/176051.MDeVivo/overview,MDeVivo,Mitsubetchy,https://overstat.gg/player/214158.Mitsubetchy/overview,Mitsubetchy,"Yes, all 3 have",2,Diamond,"Some PC, some console",,
27/03/2025 10:43:13,Greasy Boyz,zboy5z5,zboy5z5,https://overstat.gg/player/749174/overview,Zboy5z5,Jakoby,https://overstat.gg/player/13139/overview,Jakoby,Brode6,https://overstat.gg/player/2212799/overview,Brode,"Yes, all 3 have",5,Masters,All PC,,
27/03/2025 10:48:32,2 Bros 1 Greg,Unstopped27,Unstopped27,https://overstat.gg/player/2353155.Unstopped27/overview,Unstopped27,GPOM,no account,GPOM,Crusipher088,no account,Crusipher(TWL),None of us have played in the void leagues before,3,Platinum,All PC,,
27/03/2025 10:49:49,Pink Pony Club,Potter,Potter,https://overstat.gg/player/753373.Potter/overview,Potter,Phokkyu,https://overstat.gg/player/753371.phokkyu/overview,Phokkyu,SoleSky,https://overstat.gg/player/1120381.SoleSky/overview,SoleSky,"Yes, all 3 have",3,Diamond,All PC,,
27/03/2025 10:50:58,Diamond Dogs Blue ,faust74,faust74,https://overstat.gg/player/968884.furux772/overview,Furux,SpectacularlyAvg,https://overstat.gg/player/753404.SpectacularlyAvg/overview,SpectacularlyAvg,Trenzhart,https://overstat.gg/player/817286.TRENZHART/overview,Trenzhart,"Yes, all 3 have",4,Diamond,"Some PC, some console",,
27/03/2025 10:57:52,Remorse ,ForSaken,ForSaken,https://overstat.gg/player/517132.BA%20ForSaken/overview,ForSaken,Retreat ,https://overstat.gg/player/213433/overview,XoRetreat,Dylaninstinct,https://overstat.gg/player/2131728/overview,Dylaninstinctttv,None of us have played in the void leagues before,4,Diamond,"Some PC, some console",,
27/03/2025 11:09:01,B.L & CO,Billy_GamesOnTTV,Billy_GamesOnTTV,https://overstat.gg/player/290384.Billy/overview,Billy,_taserface,https://overstat.gg/player/182304.Interstellar%20Duck/overview,Interstellar Duck,Leffurts,https://overstat.gg/player/470731.Leffurts/overview,Leffurts,"Yes, all 3 have",3,Masters,"Some PC, some console",,
27/03/2025 11:48:23,114,rvo.,rvo.,https://overstat.gg/player/654747.Rvo/overview,Rvo_114,nosocx,https://overstat.gg/player/654745.114%20NoSocx/overview,Thumbtack28,.kaeluna.,https://overstat.gg/player/49014.kaeLuna/overview,Kaeluna_114,"Yes, all 3 have",4,Diamond,All PC,,
27/03/2025 12:04:36,Xzile eSports,"firedragon, kaynun",firedragon,https://overstat.gg/player/364411/overview,XZL FireDragon,kaynun,https://overstat.gg/player/238512.kaaynun/overview,XZL kaynun,spetzmg,https://overstat.gg/player/82178.spetz/overview,XZL spetz,"Yes, all 3 have",5,Diamond,All PC,,
27/03/2025 12:28:52,Diamond Dogs Purple,Scarecrow ,Scarecrow,https://overstat.gg/player/817287.Croh/overview,Croh ,Jubella ,https://overstat.gg/player/782979.Jubella/overview,Jubella ,Afflictedwombat,https://overstat.gg/player/1345530.Afflictedwombat/overview,Afflictedwombat ,"Yes, all 3 have",5,Platinum,All console,,
