Rank,Player Name,Combined Rating,Seasons Played,S8 Rating,S11 Rating,S12 Rating,Consistency Bonus %,Division Avg Score,All Names Used
268,PRDX_kraknn,53.38,S12+S8,156.00,,45.73,5,4.0,PRDX_kraknn
269,steph,53.16,S12,,,84.38,5,3.0,steph
270,Scarab6232,53.08,S12+S8,176.00,,40.25,5,4.0,Scarab6232
271,NuTTy,52.97,S11+S12,,73.45,46.16,15,8.0,NuTTy
272,xSetrakusRa,52.84,S12,,,83.87,5,4.0,xSetrakusRa
273,G4rHamza | Twitch,52.64,S12,,,79.76,10,5.0,G4rHamza | Twitch
274,DRIP_@Kentekk,52.52,S12,,,79.58,10,6.0,DRIP_@Kentekk
275,OW2 Better Game,52.47,S12,,,83.28,5,3.0,OW2 Better Game
276,Mr_Hands_20,52.35,S8,349.00,,,0,,Mr_Hands_20
277,negativerush,52.15,S12+S8,181.00,,37.52,5,3.0,negativerush
278,Inoriboob,52.08,S12,,,78.91,10,6.0,Inoriboob
279,imJhoKing,51.59,S12,,,63.70,35,10.0,imJhoKing
280,Haki,51.55,S12+S8,144.00,,42.10,10,6.0,Haki
281,F5 | Stabjackal TTV,51.33,S11+S12+S8,163.00,0.65,36.75,10,6.0,F5 | Stabjackal TTV
282,GASPITZBLESD,51.32,S12,,,74.38,15,8.0,GASPITZBLESD
283,EST MANGO XHANDER,51.03,S12+S8,137.00,,46.75,5,4.0,"XHANABUSER, EST MANGO XHANDER"
284,ehayes121,51.01,S12+S8,183.00,,35.22,5,3.0,ehayes121
285,Sleeping,50.90,S11+S12,,130.00,19.60,15,7.5,Sleeping
286,Eddy,50.75,S11+S12,,13.65,71.20,10,6.0,Eddy
287,MayBPh8L,50.31,S12,,,76.23,10,5.0,MayBPh8L
288,ChefMike,49.95,S12+S8,136.00,,45.28,5,4.0,ChefMike
289,Fuzz,49.45,S11+S12+S8,237.00,4.55,17.34,5,3.5,Fuzz
290,Hurt,49.34,S12+S8,189.00,,31.06,5,3.0,Hurt
291,YoTakeItEezy,49.34,S12+S8,189.00,,31.06,5,3.0,YoTakeItEezy
292,Doormatt,49.30,S12,,,78.26,5,4.0,Doormatt
293,table,49.25,S12,,,74.63,10,6.0,table
294,hatch,49.16,S12+S8,138.00,,39.99,10,6.0,hatch
295,laceycs,49.04,S12+S8,124.00,,46.84,5,4.0,laceycs
296,Viridae,48.89,S12,,,74.07,10,5.0,Viridae
297,FTB | Steph,48.86,S12+S8,176.00,,33.56,5,3.0,"FTB | Steph, FTB | steph"
298,baeV,48.79,S12+S8,135.00,,40.17,10,6.0,"baeV, ///Mikey"
299,iiRonnoc,48.67,S12+S8,153.00,,39.01,5,4.0,iiRonnoc
300,TH | LIVE,48.63,S12+S8,118.00,,47.69,5,4.0,"TH | LIVE, TH | BalynceLIVE"
301,WaBBiT,48.54,S11+S12,,,70.35,15,7.0,WaBBiT
302,chris k,48.48,S11,,143.65,,35,9.0,chris k
303,TGUN_Jäger,48.48,S12,,,76.95,5,3.0,TGUN_Jäger
